,company,date
212,CPS,2022-02-18
213,CPS,2022-05-13
214,CPS,2022-08-05
215,CPS,2022-11-04
216,DAN,2009-03-16
217,DAN,2012-07-26
218,DAN,2012-10-26
219,DAN,2013-02-21
220,DAN,2013-04-25
221,DAN,2013-07-25
222,DAN,2013-10-29
223,DAN,2014-02-20
224,DAN,2014-04-25
225,DAN,2014-07-24
226,DAN,2014-10-23
227,DAN,2015-02-20
228,DAN,2015-04-23
229,DAN,2015-07-23
230,DAN,2015-10-22
231,DAN,2016-02-18
232,DAN,2016-04-21
233,DAN,2016-07-21
234,DAN,2016-10-20
235,DAN,2017-02-09
236,DAN,2017-05-02
237,DAN,2017-07-31
238,DAN,2017-10-26
239,DAN,2018-02-13
240,DAN,2018-04-30
241,DAN,2018-07-25
242,DAN,2018-10-29
243,DAN,2019-02-15
244,DAN,2019-05-02
245,DAN,2019-07-31
246,DAN,2019-10-30
247,DAN,2020-02-13
248,DAN,2020-04-30
249,DAN,2021-02-18
250,DAN,2021-04-28
251,DAN,2021-08-01
252,DAN,2021-10-26
253,DAN,2022-02-23
254,DAN,2022-04-27
255,DAN,2022-08-03
256,DAN,2022-10-27
257,F,2006-10-23
258,F,2007-01-25
259,F,2007-04-27
260,F,2007-07-26
261,F,2007-11-09
262,F,2008-01-25
263,F,2008-04-25
264,F,2008-07-25
265,F,2008-11-07
266,F,2009-01-30
267,F,2009-04-24
268,F,2009-07-23
269,F,2009-11-03
270,F,2010-01-28
271,F,2010-04-27
272,F,2010-07-23
273,F,2010-10-26
274,F,2011-01-28
275,F,2011-04-26
276,F,2011-07-26
277,F,2011-10-26
278,F,2012-01-27
279,F,2012-04-27
280,F,2012-07-25
281,F,2012-11-01
282,F,2013-01-29
283,F,2013-09-10
284,F,2013-10-24
285,F,2014-01-28
286,F,2014-04-25
287,F,2014-07-24
288,F,2014-10-25
289,F,2015-01-29
290,F,2015-04-28
291,F,2015-07-28
292,F,2015-10-27
293,F,2016-01-28
294,F,2016-04-29
295,F,2016-07-28
296,F,2016-10-27
297,F,2017-01-26
298,F,2017-04-27
299,F,2017-07-27
300,F,2017-10-26
301,F,2018-01-25
302,F,2018-04-26
303,F,2018-07-26
304,F,2018-10-25
305,F,2019-01-24
306,F,2019-04-26
307,F,2019-07-25
308,F,2019-10-23
309,F,2020-02-05
310,F,2020-04-28
311,F,2020-07-31
312,F,2020-10-29
313,F,2021-02-04
314,F,2021-04-28
315,F,2021-07-28
316,F,2021-10-27
317,F,2022-02-03
318,F,2022-04-27
319,F,2022-07-27
320,F,2022-10-26
321,FOXF,2013-11-10
322,FOXF,2014-08-07
323,FOXF,2014-11-09
324,FOXF,2015-03-03
325,FOXF,2015-05-07
326,FOXF,2015-08-10
327,FOXF,2015-11-05
328,FOXF,2016-03-01
329,FOXF,2016-05-05
330,FOXF,2016-08-04
331,FOXF,2016-11-03
332,FOXF,2017-03-02
333,FOXF,2017-05-04
334,FOXF,2017-08-04
335,FOXF,2017-11-02
336,FOXF,2018-02-28
337,FOXF,2018-05-05
338,FOXF,2018-08-04
339,FOXF,2018-11-01
340,FOXF,2019-02-27
341,FOXF,2019-05-03
342,FOXF,2019-08-03
343,FOXF,2019-11-03
344,FOXF,2020-03-04
345,FOXF,2020-05-10
346,FOXF,2021-02-28
347,FOXF,2021-05-09
348,FOXF,2021-08-08
349,FOXF,2021-11-07
350,FOXF,2022-02-26
351,FOXF,2022-05-08
352,FOXF,2022-08-07
353,FOXF,2022-11-07
354,FSR,2021-02-25
355,FSR,2021-05-18
356,FSR,2021-08-06
357,FSR,2021-11-03
358,FSR,2022-02-16
359,FSR,2022-05-04
360,FSR,2022-08-03
361,FSR,2022-11-02
362,GM,2012-05-03
363,GM,2012-08-02
364,GM,2012-10-31
365,GM,2013-02-14
366,GM,2013-05-02
367,GM,2013-08-03
368,GM,2013-10-30
369,GM,2014-02-06
370,GM,2014-04-24
